,buss_type,pay_type_x,bal,norm_bal_x,dlay_bal,dull_bal,fine_pr_int,fine_intr_int,five_class_x,is_vc_vouch,loan_use_add,all_bal,marrige,education,career,prof_title,is_employee,is_shareholder,is_black,is_contact,is_mgr_dep,loan_type,float_tpename,loan_amt,loan_bal,vouch_type_x,five_class_y,overdue_class,overdue_flag,owed_int_flag,delay_bal_x,loan_use_x,inte_settle_type,guar_amount,bad_bal,due_intr,norm_bal_y,delay_bal_y
loan_use_add,0.22286051202639548,0.1000995816480871,0.1309923417317686,0.12157367930361623,-0.0007108419801541908,0.05698319811789429,0.07207919010683088,0.01494025276445437,-0.0617455606618646,-0.057085212939888365,1.0,-0.08348233995943724,0.03880730354711949,-0.06033458345666127,-0.1172038102190439,-0.011205282711162227,-0.09858884940880594,0.01540288514256261,0.0569791723261008,0.0030301467744525685,,-0.06130659748013756,-0.05068692139095257,0.10214805771898593,0.09850547417017395,0.007723137784359066,0.02841222189914158,-0.03735595629394453,0.02397502601434613,0.023385817773551632,0.020527496399410153,-0.034908979301647616,0.054885811818500385,0.06301975185098904,0.04427451867428462,0.032394410066346975,0.07048852892948128,0.06380698957831062
all_bal,-0.023630545629496034,-0.029959546034801283,-0.06895287284971399,-0.06354403766145533,-0.01182019720370133,-0.03706581332484726,-0.05669115051782566,-0.020077484033521758,0.0034844520902190266,0.14738269894780617,-0.08348233995943724,1.0,-0.06815095592647837,0.027520789591646753,0.12232702123136016,-0.0663772282672439,0.09949035516922183,0.04978373921833622,-0.10743141867934058,-0.002292932531659873,,-0.0038319973053604598,0.015521407187103762,0.0026525327848963757,-0.014781960454922612,0.07947656101906679,-0.09622220357558903,0.09054865914518288,-0.09733456499564634,-0.09825053999663458,-0.012242181931558948,0.004546848688757051,-0.08141944225008288,-0.011508734101325914,-0.06985063352491193,-0.07688744871833934,0.09858343088961545,-0.08463183273428761
marrige,0.01396554402219652,0.03361863184524462,0.06444045499239517,0.06108985462209956,0.006055605925865118,0.007999731616708144,0.05684416152724482,0.005040741291897042,-0.014679883482311007,-0.05455889724884705,0.03880730354711949,-0.06815095592647837,1.0,-0.03340605363924354,-0.09435227143841216,0.032010703270101845,-0.09530010395505197,-0.012691842137274593,0.03983856825128141,0.0009277374912157951,,-0.05572467692471787,-0.05645012879395611,0.020831385022650705,0.01828025022600795,0.04321564520916384,0.020282088031825025,-0.011457134439058051,-0.0018161570630222381,0.0007842676842750782,-0.0281514183055528,-0.05610929386758219,0.002903680336326486,0.04076129752138047,0.011651607302793996,-0.009443387997114243,0.009993310928426445,0.004771092543235977
education,-0.0966225129686065,-0.09511135505804211,-0.09383272525148972,-0.09529499072093495,-0.008271473995284245,-0.013803649198178081,-0.08388306815141114,-0.018681046951579173,0.06834418948548159,-0.025580700617591632,-0.06033458345666127,0.027520789591646753,-0.03340605363924354,1.0,0.05619411071891267,0.038876196474308136,0.18266066512218412,-0.01811726749013275,-0.04959852772735733,-0.003581953710045338,,0.12223157029054252,0.11005184561262209,-0.0652173336815847,-0.06066760256984219,-0.06596789219728175,-0.00782976776702102,-0.002776720468044789,0.016705334876278205,0.018889241670387934,-0.004877224933600819,0.10845889130507722,0.008862319082058786,-0.10576387878627741,-0.006412178622502381,0.008902934062029947,-0.05800855046669408,0.010191198644743441
career,-0.03805796341577324,-0.0700074160157188,-0.07873240650649775,-0.07739246205958639,-0.001686424290691668,0.0005432808184177584,-0.0450032902273932,0.009513304548147947,0.01806349703685223,0.34305703789826764,-0.1172038102190439,0.12232702123136016,-0.09435227143841216,0.05619411071891267,1.0,-0.16121274826228338,0.11960252561623888,-0.002484258725776593,0.012974363632558711,-0.003426770564676956,,-0.03798048551695695,-0.020158563560586408,-0.026779574786947598,-0.03411756352523914,-0.045599964009598745,0.049481976349542586,-0.029200194325457472,0.06270701880710852,0.07455580020312984,0.03215156552252489,-0.03552035948450646,0.021909926169172308,0.029396356830959345,0.004824356512553182,0.06243019167639882,0.021731558405139326,0.020250840114097238
prof_title,-0.10114490721874324,-0.0757352733970624,-0.045299243575214435,-0.04137104515491861,-0.01088511974094309,-0.03183780253433555,-0.031961833135425444,-0.019401180642585322,0.08515618289949797,-0.3387786852822543,-0.011205282711162227,-0.0663772282672439,0.032010703270101845,0.038876196474308136,-0.16121274826228338,1.0,0.12793936702371678,-0.041998498043458496,-0.09901327676931282,-0.0021113769391798466,,0.1545976790674967,0.13365286000728044,-0.1251719217764956,-0.1105301681117296,-0.043944513561817965,-0.09569277634912265,0.06719752620731166,-0.0758316082473239,-0.08323194315172565,-0.05471471456889338,0.13470538638763338,-0.07154213116546634,-0.10843219347600247,-0.06643204952416885,-0.06334487640942654,-0.1008670255781301,-0.06967746262697756
is_employee,-0.16833719803523262,-0.10786366884347207,-0.1875172101919093,-0.18426785699125328,-0.02180419284677095,-0.02431379557402166,-0.14064924333777712,-0.02316544547474334,0.12906026359559267,0.031241249052779484,-0.09858884940880594,0.09949035516922183,-0.09530010395505197,0.18266066512218412,0.11960252561623888,0.12793936702371678,1.0,0.05395315619001988,-0.15099406469822219,0.003353928272186332,,0.06870414159311057,0.04898894138055794,-0.1512149594284834,-0.15628362612444271,0.007843431802558665,-0.010567988250969513,-0.007597745804692501,0.05019136047054494,0.06540139056306134,-0.08741160462303978,0.03824261085584448,-0.014555412392720039,-0.04736552598209773,-0.01778256130132312,0.0402731224383088,-0.055725099070953854,-0.0041114377552954095
is_shareholder,0.09030035386770643,0.03299672789048455,0.013863074265004997,0.016194345932226052,-0.0027669187313857707,-0.008540397993682832,-0.0029461444203596862,0.0008047182163675315,-0.04164318907893173,0.043469094142603346,0.01540288514256261,0.04978373921833622,-0.012691842137274593,-0.01811726749013275,-0.002484258725776593,-0.041998498043458496,0.05395315619001988,1.0,-0.022986029280719945,-0.0005193820441514933,,-0.027403522987266334,-0.001440642607538308,0.0489697893160159,0.037408827474545624,-0.04768150888539275,-0.013910096187024967,0.013233708517978482,-0.009313095616751062,-0.009658120692334663,0.03214433952967422,-0.0026910425582177978,-0.013174706475118085,0.003312241738850143,-0.014613427024742226,-0.004803286723737215,0.053910538101938084,-0.014725462199170597
is_black,0.08259515906633909,0.08503674636517211,0.05292069896067442,0.009322149672049564,0.0710039807844949,0.220864537908432,0.03176717390524176,0.10720771070924495,-0.07435779573896507,0.09712570661874259,0.0569791723261008,-0.10743141867934058,0.03983856825128141,-0.04959852772735733,0.012974363632558711,-0.09901327676931282,-0.15099406469822219,-0.022986029280719945,1.0,-0.002092588466517503,,0.0028102138982445467,0.04848197588161079,-0.018752428076286423,-0.022575439477404043,-0.16445418347807764,0.4412624583937719,-0.299718143298344,0.16472033184409873,0.15103344896105908,0.19760333016325607,0.04958892989924299,0.2860496986718175,-0.03986620960831056,0.29643738998247815,0.1701493157750861,-0.052925329982342215,0.2717240779695641
is_contact,0.00017288472695299167,-0.004768857669723853,-0.001452087077565233,-0.001380546217807442,-0.0001746321521332407,-0.0005390212819746521,-0.001100974480194243,-0.0002889237778677258,0.005076957052079206,0.0036749628655263836,0.0030301467744525685,-0.002292932531659873,0.0009277374912157951,-0.003581953710045338,-0.003426770564676956,-0.0021113769391798466,0.003353928272186332,-0.0005193820441514933,-0.002092588466517503,1.0,,0.0035727053315432918,0.003060334963881998,-0.003964731493954566,-0.003686710198263537,-0.0013340631456252104,-0.001809042907493585,0.0013084410551149818,-0.0014063948042794625,-0.0015940636079200046,0.010395375808657747,0.0032008924801443443,-0.0011781811637878242,-0.002821646368801628,-0.0013932182018269196,-0.0012116622904570764,-0.004415863415912388,-0.0012450141782669216
is_mgr_dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
