,credit_level,buss_type,bal,norm_bal_x,dlay_bal,dull_bal,fine_pr_int,fine_intr_int,all_bal,loan_amt,loan_bal,inte_settle_type,bad_bal,due_intr,norm_bal_y,delay_bal_y,buss_amt,dlay_amt,loan_use_y,pay_freq
count,30507.0,21067.0,21067.0,21067.0,21067.0,21067.0,21067.0,21067.0,30299.0,14210.0,14210.0,14210.0,12147.0,12147.0,12147.0,12147.0,7292.0,7292.0,7292.0,7292.0
mean,65.57413052741994,401248.8096430436,42097.00446527745,38973.77187781839,99.88626714767173,3023.346320311387,131.11278729766934,0.9646579959177861,54217.50165682036,350186.97907600284,313202.4447705841,8789.060219563687,15919.88099283774,3119.8303153041907,219047.27504486707,9619.524232320737,663548.3842512342,320.3397325836533,0.0,39.98134942402633
std,8.413288480618414,2033906.7432987422,272539.4568279391,264002.0088545265,3703.9362451210204,69155.14727721192,806.9660648088761,22.420895861535058,266664.8304926788,818181.4545114893,772737.7359977262,99425.64024580158,131070.377221,34842.21887350146,483607.71715362126,103357.87605626685,2361401.202822809,6525.1081260315195,0.0,128.952046484827
min,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,3.0
25%,60.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,67.39500000000001,88000.0,70000.0,0.0,0.0,0.0,50000.0,0.0,90000.0,0.0,0.0,7.0
50%,60.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,1240.67,200000.0,183224.89500000002,0.0,0.0,0.0,110000.0,0.0,232025.0,0.0,0.0,14.0
75%,70.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,29337.63,400000.0,330000.0,0.0,0.0,0.0,280000.0,0.0,540000.0,0.0,0.0,35.0
max,85.0,177000000.0,20000000.0,20000000.0,300000.0,7497977.5,31005.0,1637.19,25320221.59,38000000.0,37500000.0,7550000.0,7497977.5,1805878.55,20000000.0,7497977.5,79145701.24000001,350000.0,0.0,7805.0
